subject;condition;congruency;RT
3;visual;normal;0.1
3;visual;normal;0.034
3;visual;conflict;0.264
3;visual;normal;0.116
3;visual;conflict;0.252
3;visual;normal;0.13
3;visual;normal;0.112
3;visual;normal;0.16
3;visual;normal;0.15
3;visual;conflict;0.274
3;visual;normal;0.166
3;visual;normal;0.18
3;visual;normal;0.036
3;visual;conflict;0.284
3;visual;normal;0.164
3;visual;normal;0.132
3;visual;normal;0.168
3;visual;normal;0.158
3;visual;normal;0.14
3;visual;conflict;0.286
3;visual;normal;0.21
3;visual;normal;0.19
3;visual;conflict;0.304
3;visual;normal;0.162
3;visual;conflict;0.208
3;visual;normal;0.12
3;visual;normal;0.156
3;visual;normal;0.124
3;visual;normal;0.114
3;visual;conflict;0.298
3;visual;normal;0.098
3;visual;normal;0.132
3;visual;normal;0.114
3;visual;conflict;0.272
3;visual;normal;0.174
3;visual;normal;0.152
3;visual;normal;0.146
3;visual;normal;0.148
3;visual;normal;0.182
3;visual;conflict;0.262
3;visual;normal;0.176
3;visual;normal;0.188
3;visual;conflict;0.236
3;visual;normal;0.138
3;visual;conflict;0.274
3;visual;normal;0.154
3;visual;normal;0.2
3;visual;normal;0.226
3;visual;normal;0.194
3;visual;conflict;0.24
3;visual;normal;0.096
3;visual;normal;0.044
3;visual;normal;0.092
3;visual;conflict;0.214
3;visual;normal;0.062
3;visual;normal;0.03
3;visual;normal;0
3;visual;normal;0
3;visual;normal;0.394
3;visual;conflict;0.118
3;visual;normal;0
3;visual;normal;0.344
3;visual;conflict;0.09
3;visual;normal;0.064
3;visual;conflict;0.2
3;visual;normal;0.046
3;visual;normal;0.082
3;visual;normal;0.028
3;visual;normal;0.042
3;visual;conflict;0.188
3;visual;normal;0.056
3;visual;normal;0.07
3;visual;normal;0.026
3;visual;conflict;0.22
3;visual;normal;0.042
3;visual;normal;0.034
3;visual;normal;0.046
3;visual;normal;0.072
3;visual;normal;0.108
3;visual;conflict;0.222
3;visual;normal;0.112
3;visual;normal;0.116
3;visual;conflict;0.238
3;visual;normal;0.074
3;visual;conflict;0.266
3;visual;normal;0.01
3;visual;normal;0.058
3;visual;normal;0.118
3;visual;normal;0.072
3;visual;conflict;0.198
3;visual;normal;0.066
3;visual;normal;0.08
3;visual;normal;0.07
3;visual;conflict;0.23
3;visual;normal;0.098
3;visual;normal;0.066
3;visual;normal;0.09
3;visual;normal;0.082
3;visual;normal;0.108
3;visual;conflict;0.21
3;visual;normal;0.088
3;visual;normal;0.114
3;visual;conflict;0.226
3;visual;normal;0.084
3;visual;conflict;0.23
3;visual;normal;0.1
3;visual;normal;0.114
3;visual;normal;0.104
3;visual;normal;0.094
3;visual;conflict;0.254
3;visual;normal;0.1
3;visual;normal;0.102
3;visual;normal;0.148
3;visual;conflict;0.296
3;visual;normal;0.154
3;visual;normal;0.144
3;visual;normal;0.092
3;visual;normal;0.128
3;visual;normal;0.118
3;visual;conflict;0.322
3;visual;normal;0.032
3;visual;normal;0.046
3;visual;conflict;0.284
3;visual;normal;0.062
3;visual;conflict;0.232
3;visual;normal;0.078
3;visual;normal;0.068
3;visual;normal;0.082
3;visual;normal;0.108
3;visual;conflict;0.254
3;visual;normal;0.044
3;visual;normal;0.036
3;visual;normal;0.104
3;visual;conflict;0.242
3;visual;normal;0.108
3;visual;normal;0.1
3;visual;normal;0.124
3;visual;normal;0.14
3;visual;normal;0.14
3;visual;conflict;0.256
3;visual;normal;0.102
3;visual;normal;0.06
3;visual;conflict;0.308
3;visual;normal;0.142
3;visual;conflict;0.254
3;visual;normal;0.078
3;visual;normal;0.16
3;visual;normal;0.094
3;visual;normal;0.096
3;visual;conflict;0.288
3;visual;normal;0.078
3;visual;normal;0.07
3;visual;normal;0.072
3;visual;conflict;0.286
3;visual;normal;0.11
3;visual;normal;0.046
3;visual;normal;0.126
3;visual;normal;0.05
3;visual;normal;0.13
3;visual;conflict;0.268
3;visual;normal;0.078
3;visual;normal;0.07
3;visual;conflict;0.306
4;vibro;normal;0
4;vibro;normal;0.08
4;vibro;normal;0.07
4;vibro;normal;0
4;vibro;conflict;0.352
4;vibro;normal;0.05
4;vibro;normal;0.052
4;vibro;conflict;0.254
4;vibro;normal;0
4;vibro;conflict;0.28
4;vibro;normal;0
4;vibro;normal;0.08
4;vibro;normal;0
4;vibro;conflict;0.294
4;vibro;normal;0
4;vibro;normal;0.142
4;vibro;normal;0
4;vibro;normal;0.1
4;vibro;normal;0
4;vibro;conflict;0.324
4;vibro;normal;0.08
4;vibro;normal;0
4;vibro;normal;0.104
4;vibro;normal;0
4;vibro;conflict;0.298
4;vibro;normal;0.064
4;vibro;normal;0
4;vibro;conflict;0.29
4;vibro;normal;0
4;vibro;conflict;0.292
4;vibro;normal;0.08
4;vibro;normal;0.092
4;vibro;normal;0.048
4;vibro;conflict;0.252
4;vibro;normal;0
4;vibro;normal;0
4;vibro;normal;0.078
4;vibro;normal;0.11
4;vibro;normal;0.09
4;vibro;conflict;0.268
4;vibro;normal;0
4;vibro;normal;0.116
4;vibro;normal;0.062
4;vibro;normal;0
4;vibro;conflict;0.342
4;vibro;normal;0
4;vibro;normal;0.122
4;vibro;conflict;0.256
4;vibro;normal;0
4;vibro;conflict;0.268
4;vibro;normal;0.08
4;vibro;normal;0.092
4;vibro;normal;0
4;vibro;conflict;0.33
4;vibro;normal;0
4;vibro;normal;0.086
4;vibro;normal;0.086
4;vibro;normal;0
4;vibro;normal;0.056
4;vibro;conflict;0.282
4;vibro;normal;0.058
4;vibro;normal;0.072
4;vibro;normal;0.038
4;vibro;normal;0.04
4;vibro;conflict;0.32
4;vibro;normal;0.076
4;vibro;normal;0
4;vibro;conflict;0.3
4;vibro;normal;0
4;vibro;conflict;0.302
4;vibro;normal;0
4;vibro;normal;0
4;vibro;normal;0
4;vibro;conflict;0.298
4;vibro;normal;0
4;vibro;normal;0.13
4;vibro;normal;0.11
4;vibro;normal;0.076
4;vibro;normal;0.012
4;vibro;conflict;0.368
4;vibro;normal;0.08
4;vibro;normal;0.092
4;vibro;normal;0.094
4;vibro;normal;0.084
4;vibro;conflict;0.332
4;vibro;normal;0
4;vibro;normal;0
4;vibro;conflict;0.31
4;vibro;normal;0
4;vibro;conflict;0.304
4;vibro;normal;0.102
4;vibro;normal;0.126
4;vibro;normal;0.138
4;vibro;conflict;0.386
4;vibro;normal;0
4;vibro;normal;0.128
4;vibro;normal;0.144
4;vibro;normal;0.076
4;vibro;normal;0.044
4;vibro;conflict;0.234
4;vibro;normal;0
4;vibro;normal;0.062
4;vibro;normal;0.096
4;vibro;normal;0.12
4;vibro;conflict;0.3
4;vibro;normal;0.112
4;vibro;normal;0.112
4;vibro;conflict;0.302
4;vibro;normal;0
4;vibro;conflict;0.316
4;vibro;normal;0.116
4;vibro;normal;0.128
4;vibro;normal;0.108
4;vibro;conflict;0.366
4;vibro;normal;0
4;vibro;normal;0.01
4;vibro;normal;0
4;vibro;normal;0.09
4;vibro;normal;0.114
4;vibro;conflict;0.34
4;vibro;normal;0
4;vibro;normal;0.028
4;vibro;normal;0
4;vibro;normal;0
4;vibro;conflict;0.322
4;vibro;normal;0
4;vibro;normal;0.078
4;vibro;conflict;0.34
4;vibro;normal;0.092
4;vibro;conflict;0.328
4;vibro;normal;0.094
4;vibro;normal;0.094
4;vibro;normal;0.14
4;vibro;conflict;0.332
4;vibro;normal;0.11
4;vibro;normal;0.146
4;vibro;normal;0.09
4;vibro;normal;0.034
4;vibro;normal;0
